figure,dataset,Method,alpha,target_coverage,n_cal,n_ref,n_test,run_id,run_seed,Coverage,Length,metric_name,method_core,qhat
Figure 5,ImageNet,SCP,0.05,0.95,10,1000,15000,0,2492284,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 5,ImageNet,Synthetic-only,0.05,0.95,10,1000,15000,0,2492284,0.8934,2.3150666666666666,prediction_set_size,standard_reference,0.9925268730224189
Figure 5,ImageNet,SPI,0.05,0.95,10,1000,15000,0,2492284,0.8934666666666666,2.3162,prediction_set_size,spi_fast_form,0.9925410805244823
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,10,1000,15000,0,2492284,0.996,29.954533333333334,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,10,1000,15000,1,6438288,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 5,ImageNet,Synthetic-only,0.05,0.95,10,1000,15000,1,6438288,0.902,2.7053333333333334,prediction_set_size,standard_reference,0.9957881648882239
Figure 5,ImageNet,SPI,0.05,0.95,10,1000,15000,1,6438288,0.986,13.707466666666667,prediction_set_size,spi_fast_form,0.9999970513802754
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,10,1000,15000,1,6438288,0.9376,20.2786,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,10,1000,15000,2,275592,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 5,ImageNet,Synthetic-only,0.05,0.95,10,1000,15000,2,275592,0.9012666666666667,2.7276666666666665,prediction_set_size,standard_reference,0.9958777566146167
Figure 5,ImageNet,SPI,0.05,0.95,10,1000,15000,2,275592,0.9602666666666667,7.5103333333333335,prediction_set_size,spi_fast_form,0.9999192877007196
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,10,1000,15000,2,275592,0.9988666666666667,29.918533333333333,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,10,1000,15000,3,2731692,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 5,ImageNet,Synthetic-only,0.05,0.95,10,1000,15000,3,2731692,0.8768,2.0700666666666665,prediction_set_size,standard_reference,0.9883324814276624
Figure 5,ImageNet,SPI,0.05,0.95,10,1000,15000,3,2731692,0.9807333333333333,12.318066666666667,prediction_set_size,spi_fast_form,0.9999938448041696
