figure,dataset,Method,alpha,target_coverage,n_cal,n_ref,n_test,run_id,run_seed,Coverage,Length,metric_name,method_core,qhat
Figure 8,ImageNet,SCP,0.05,0.95,15,100,15000,0,2492284,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,100,15000,0,2492284,0.9214666666666667,3.4587333333333334,prediction_set_size,standard_reference,0.9983046370973695
Figure 8,ImageNet,SPI,0.05,0.95,15,100,15000,0,2492284,0.923,3.577,prediction_set_size,spi_fast_form,0.9985172743306517
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,100,15000,0,2492284,1.0,30.0,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,100,15000,1,6438288,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,100,15000,1,6438288,0.8988666666666667,2.599466666666667,prediction_set_size,standard_reference,0.9951207576394652
Figure 8,ImageNet,SPI,0.05,0.95,15,100,15000,1,6438288,0.986,13.709133333333334,prediction_set_size,spi_fast_form,0.9999970513802754
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,100,15000,1,6438288,0.9253333333333333,4.1898,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,100,15000,2,275592,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,100,15000,2,275592,0.9042666666666667,2.842,prediction_set_size,standard_reference,0.9964514961224519
Figure 8,ImageNet,SPI,0.05,0.95,15,100,15000,2,275592,0.9602666666666667,7.51,prediction_set_size,spi_fast_form,0.9999192877007196
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,100,15000,2,275592,0.9994,29.946133333333332,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,100,15000,3,2731692,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,100,15000,3,2731692,0.9057333333333333,2.7486,prediction_set_size,standard_reference,0.9959489354119051
Figure 8,ImageNet,SPI,0.05,0.95,15,100,15000,3,2731692,0.9824666666666667,12.914666666666667,prediction_set_size,spi_fast_form,0.9999953978828906
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,100,15000,3,2731692,0.9999333333333333,29.989133333333335,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,100,15000,4,1441594,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,100,15000,4,1441594,0.9094666666666666,2.852733333333333,prediction_set_size,standard_reference,0.996559270878917
Figure 8,ImageNet,SPI,0.05,0.95,15,100,15000,4,1441594,0.971,9.4554,prediction_set_size,spi_fast_form,0.9999727407147511
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,100,15000,4,1441594,0.9797333333333333,26.879066666666667,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,100,15000,5,7551662,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,100,15000,5,7551662,0.9174,3.4792,prediction_set_size,standard_reference,0.9983197411513709
Figure 8,ImageNet,SPI,0.05,0.95,15,100,15000,5,7551662,0.9729333333333333,10.284266666666667,prediction_set_size,spi_fast_form,0.9999824829915102
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,100,15000,5,7551662,1.0,30.0,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,100,15000,6,4731878,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,100,15000,6,4731878,0.8979333333333334,2.5572,prediction_set_size,standard_reference,0.9946423177586069
Figure 8,ImageNet,SPI,0.05,0.95,15,100,15000,6,4731878,0.9406666666666667,5.5022,prediction_set_size,spi_fast_form,0.999701744919819
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,100,15000,6,4731878,0.9850666666666666,28.660866666666667,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,100,15000,7,9486483,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,100,15000,7,9486483,0.8929333333333334,2.3074,prediction_set_size,standard_reference,0.9922277187881209
Figure 8,ImageNet,SPI,0.05,0.95,15,100,15000,7,9486483,0.9513333333333334,6.2956666666666665,prediction_set_size,spi_fast_form,0.9998288541844006
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,100,15000,7,9486483,0.9998666666666667,29.9896,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,100,15000,8,857393,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,100,15000,8,857393,0.8845333333333333,2.2319333333333335,prediction_set_size,standard_reference,0.9911381094992846
Figure 8,ImageNet,SPI,0.05,0.95,15,100,15000,8,857393,0.8909333333333334,2.3585333333333334,prediction_set_size,spi_fast_form,0.9927944929183892
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,100,15000,8,857393,0.9998,29.996933333333335,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,100,15000,9,4233261,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,100,15000,9,4233261,0.9279333333333334,4.618733333333333,prediction_set_size,standard_reference,0.9994095244333332
Figure 8,ImageNet,SPI,0.05,0.95,15,100,15000,9,4233261,0.9676666666666667,8.8036,prediction_set_size,spi_fast_form,0.9999600558557984
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,100,15000,9,4233261,1.0,30.0,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,100,15000,10,9504621,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,100,15000,10,9504621,0.894,2.4309333333333334,prediction_set_size,standard_reference,0.9934795790910368
Figure 8,ImageNet,SPI,0.05,0.95,15,100,15000,10,9504621,0.9732,9.804666666666666,prediction_set_size,spi_fast_form,0.9999768621010648
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,100,15000,10,9504621,0.9454666666666667,5.877466666666667,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,100,15000,11,5118207,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,100,15000,11,5118207,0.9142666666666667,3.0895333333333332,prediction_set_size,standard_reference,0.9974082245582641
Figure 8,ImageNet,SPI,0.05,0.95,15,100,15000,11,5118207,0.9976,27.5088,prediction_set_size,spi_fast_form,0.9999992845033506
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,100,15000,11,5118207,1.0,30.0,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,100,15000,12,8690244,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,100,15000,12,8690244,0.9498,6.239533333333333,prediction_set_size,standard_reference,0.9998169346606962
Figure 8,ImageNet,SPI,0.05,0.95,15,100,15000,12,8690244,0.9812666666666666,12.326133333333333,prediction_set_size,spi_fast_form,0.9999936148103509
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,100,15000,12,8690244,1.0,29.999,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,100,15000,13,8229426,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,100,15000,13,8229426,0.8905333333333333,2.2552,prediction_set_size,standard_reference,0.9915737165215953
Figure 8,ImageNet,SPI,0.05,0.95,15,100,15000,13,8229426,0.9727333333333333,9.436066666666667,prediction_set_size,spi_fast_form,0.9999717881551338
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,100,15000,13,8229426,0.9603333333333334,25.34026666666667,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,100,15000,14,348525,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,100,15000,14,348525,0.9572,7.1574,prediction_set_size,standard_reference,0.9998961901733231
Figure 8,ImageNet,SPI,0.05,0.95,15,100,15000,14,348525,0.9658,8.4348,prediction_set_size,spi_fast_form,0.9999504601632341
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,100,15000,14,348525,1.0,30.0,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,100,15000,15,8277021,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,100,15000,15,8277021,0.91,2.7566,prediction_set_size,standard_reference,0.9960249006300543
Figure 8,ImageNet,SPI,0.05,0.95,15,100,15000,15,8277021,0.9528,6.427,prediction_set_size,spi_fast_form,0.9998411948053925
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,100,15000,15,8277021,0.9235333333333333,25.56126666666667,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,100,15000,16,3118312,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,100,15000,16,3118312,0.8602666666666666,1.8187333333333333,prediction_set_size,standard_reference,0.9808303154036818
Figure 8,ImageNet,SPI,0.05,0.95,15,100,15000,16,3118312,0.9786,11.127533333333334,prediction_set_size,spi_fast_form,0.9999883097661856
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,100,15000,16,3118312,0.9894666666666667,27.493466666666666,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,100,15000,17,4091990,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,100,15000,17,4091990,0.9224,3.592,prediction_set_size,standard_reference,0.9985779192747576
Figure 8,ImageNet,SPI,0.05,0.95,15,100,15000,17,4091990,0.9582666666666667,6.769933333333333,prediction_set_size,spi_fast_form,0.9998785362208537
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,100,15000,17,4091990,0.9748666666666667,27.8174,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,100,15000,18,2569919,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,100,15000,18,2569919,0.9053333333333333,2.8734,prediction_set_size,standard_reference,0.9965709863141544
Figure 8,ImageNet,SPI,0.05,0.95,15,100,15000,18,2569919,0.9856666666666667,13.998,prediction_set_size,spi_fast_form,0.9999973280780777
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,100,15000,18,2569919,0.9999333333333333,29.9676,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,100,15000,19,5495936,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,100,15000,19,5495936,0.895,2.454,prediction_set_size,standard_reference,0.9939211167819663
Figure 8,ImageNet,SPI,0.05,0.95,15,100,15000,19,5495936,0.9952666666666666,26.0394,prediction_set_size,spi_fast_form,0.9999991035978442
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,100,15000,19,5495936,0.9361333333333334,5.1852,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,250,15000,0,2492284,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,250,15000,0,2492284,0.8847333333333334,2.1466,prediction_set_size,standard_reference,0.9900160067111249
Figure 8,ImageNet,SPI,0.05,0.95,15,250,15000,0,2492284,0.8922,2.2897333333333334,prediction_set_size,spi_fast_form,0.9922048378617038
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,250,15000,0,2492284,0.8596666666666667,1.8042666666666667,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,250,15000,1,6438288,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,250,15000,1,6438288,0.9111333333333334,3.0984,prediction_set_size,standard_reference,0.9974423973123439
Figure 8,ImageNet,SPI,0.05,0.95,15,250,15000,1,6438288,0.986,13.709133333333334,prediction_set_size,spi_fast_form,0.9999970513802754
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,250,15000,1,6438288,0.9468666666666666,5.9964,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,250,15000,2,275592,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,250,15000,2,275592,0.9042666666666667,2.842,prediction_set_size,standard_reference,0.9964514961224519
