figure,dataset,age_group,Method,alpha,target_coverage,n_cal,n_ref,n_test,run_id,run_seed,Coverage,Length,metric_name,method_core,qhat
Figure 9,MEPS,0-20,SCP,0.05,0.95,15,1000,200,0,2492284,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,0-20,Synthetic-only,0.05,0.95,15,1000,200,0,2492284,0.945,3.8622168857458745,interval_width,standard_reference,0.5733563303947449
Figure 9,MEPS,0-20,SPI,0.05,0.95,15,1000,200,0,2492284,0.95,3.8761015493277227,interval_width,spi_fast_form,0.580298662185669
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,0,2492284,0.91,2.975590384014826,interval_width,rsa_cp_barycentric_ot_betabin,0.13004307952922067
Figure 9,MEPS,0-20,SCP,0.05,0.95,15,1000,200,1,6438288,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,0-20,Synthetic-only,0.05,0.95,15,1000,200,1,6438288,0.92,3.5053330281854143,interval_width,standard_reference,0.5733563303947449
Figure 9,MEPS,0-20,SPI,0.05,0.95,15,1000,200,1,6438288,0.92,3.541120968210744,interval_width,spi_fast_form,0.5912503004074097
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,1,6438288,0.865,2.3817097696410734,interval_width,rsa_cp_barycentric_ot_betabin,0.011544701122574674
Figure 9,MEPS,0-20,SCP,0.05,0.95,15,1000,200,2,275592,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,0-20,Synthetic-only,0.05,0.95,15,1000,200,2,275592,0.92,3.810908269501524,interval_width,standard_reference,0.5463840961456299
Figure 9,MEPS,0-20,SPI,0.05,0.95,15,1000,200,2,275592,0.92,3.831246327973204,interval_width,spi_fast_form,0.5565531253814697
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,2,275592,0.86,2.833211844586887,interval_width,rsa_cp_barycentric_ot_betabin,0.05753588368831145
Figure 9,MEPS,0-20,SCP,0.05,0.95,15,1000,200,3,2731692,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,0-20,Synthetic-only,0.05,0.95,15,1000,200,3,2731692,0.97,3.645624028868915,interval_width,standard_reference,0.453180193901062
Figure 9,MEPS,0-20,SPI,0.05,0.95,15,1000,200,3,2731692,0.97,3.98963009042287,interval_width,spi_fast_form,0.6251832246780396
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,3,2731692,0.98,4.143044713901232,interval_width,rsa_cp_barycentric_ot_betabin,0.70189053641722
Figure 9,MEPS,0-20,SCP,0.05,0.95,15,1000,200,4,1441594,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,0-20,Synthetic-only,0.05,0.95,15,1000,200,4,1441594,0.935,3.573788275679981,interval_width,standard_reference,0.4462360143661499
Figure 9,MEPS,0-20,SPI,0.05,0.95,15,1000,200,4,1441594,0.935,3.5824965142816656,interval_width,spi_fast_form,0.4505901336669922
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,4,1441594,0.945,3.7238983643070895,interval_width,rsa_cp_barycentric_ot_betabin,0.5212910586797039
Figure 9,MEPS,0-20,SCP,0.05,0.95,15,1000,200,5,7551662,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,0-20,Synthetic-only,0.05,0.95,15,1000,200,5,7551662,0.95,3.6331025626481277,interval_width,standard_reference,0.5475614070892334
Figure 9,MEPS,0-20,SPI,0.05,0.95,15,1000,200,5,7551662,0.995,4.960323717814754,interval_width,spi_fast_form,1.2111719846725464
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,5,7551662,0.995,5.3224083962841835,interval_width,rsa_cp_barycentric_ot_betabin,1.392214323907262
Figure 9,MEPS,0-20,SCP,0.05,0.95,15,1000,200,6,4731878,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,0-20,Synthetic-only,0.05,0.95,15,1000,200,6,4731878,0.96,4.062966130829591,interval_width,standard_reference,0.5039712190628052
Figure 9,MEPS,0-20,SPI,0.05,0.95,15,1000,200,6,4731878,0.96,4.085354350662965,interval_width,spi_fast_form,0.5151653289794922
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,6,4731878,0.96,4.174715935118986,interval_width,rsa_cp_barycentric_ot_betabin,0.5598461212075027
Figure 9,MEPS,0-20,SCP,0.05,0.95,15,1000,200,7,9486483,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,0-20,Synthetic-only,0.05,0.95,15,1000,200,7,9486483,0.96,3.468901655992959,interval_width,standard_reference,0.5527167320251465
Figure 9,MEPS,0-20,SPI,0.05,0.95,15,1000,200,7,9486483,0.96,3.4765744427056053,interval_width,spi_fast_form,0.5565531253814697
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,7,9486483,0.87,2.6542375656049955,interval_width,rsa_cp_barycentric_ot_betabin,0.14538468683116507
Figure 9,MEPS,0-20,SCP,0.05,0.95,15,1000,200,8,857393,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,0-20,Synthetic-only,0.05,0.95,15,1000,200,8,857393,0.97,3.6938299921539146,interval_width,standard_reference,0.5463840961456299
Figure 9,MEPS,0-20,SPI,0.05,0.95,15,1000,200,8,857393,0.97,3.6961846140411216,interval_width,spi_fast_form,0.5475614070892334
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,8,857393,0.985,3.848309376361598,interval_width,rsa_cp_barycentric_ot_betabin,0.6236237882494712
Figure 9,MEPS,0-20,SCP,0.05,0.95,15,1000,200,9,4233261,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,0-20,Synthetic-only,0.05,0.95,15,1000,200,9,4233261,0.91,3.7895936501119287,interval_width,standard_reference,0.5267912149429321
Figure 9,MEPS,0-20,SPI,0.05,0.95,15,1000,200,9,4233261,0.94,4.173912955531851,interval_width,spi_fast_form,0.7189508676528931
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,9,4233261,0.995,5.695831601126587,interval_width,rsa_cp_barycentric_ot_betabin,1.4799101904502605
Figure 9,MEPS,0-20,SCP,0.05,0.95,15,1000,200,10,9504621,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,0-20,Synthetic-only,0.05,0.95,15,1000,200,10,9504621,0.94,3.4720976774633163,interval_width,standard_reference,0.4191257953643799
Figure 9,MEPS,0-20,SPI,0.05,0.95,15,1000,200,10,9504621,0.965,4.289808792346739,interval_width,spi_fast_form,0.8279813528060913
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,10,9504621,0.97,4.411794945425284,interval_width,rsa_cp_barycentric_ot_betabin,0.8889744293453645
Figure 9,MEPS,0-20,SCP,0.05,0.95,15,1000,200,11,5118207,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,0-20,Synthetic-only,0.05,0.95,15,1000,200,11,5118207,0.935,3.4333996803706395,interval_width,standard_reference,0.4974013566970825
Figure 9,MEPS,0-20,SPI,0.05,0.95,15,1000,200,11,5118207,0.935,3.451352360958408,interval_width,spi_fast_form,0.5063776969909668
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,11,5118207,0.845,2.4385969669764744,interval_width,rsa_cp_barycentric_ot_betabin,0.0
Figure 9,MEPS,0-20,SCP,0.05,0.95,15,1000,200,12,8690244,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,0-20,Synthetic-only,0.05,0.95,15,1000,200,12,8690244,0.925,3.7160843364702303,interval_width,standard_reference,0.602168083190918
Figure 9,MEPS,0-20,SPI,0.05,0.95,15,1000,200,12,8690244,0.935,3.7987125865923006,interval_width,spi_fast_form,0.6434822082519531
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,12,8690244,0.965,4.298642129061312,interval_width,rsa_cp_barycentric_ot_betabin,0.8934469794864582
Figure 9,MEPS,0-20,SCP,0.05,0.95,15,1000,200,13,8229426,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,0-20,Synthetic-only,0.05,0.95,15,1000,200,13,8229426,0.95,3.6120357237456484,interval_width,standard_reference,0.5587759017944336
Figure 9,MEPS,0-20,SPI,0.05,0.95,15,1000,200,13,8229426,0.95,3.652182074606244,interval_width,spi_fast_form,0.5788490772247314
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,13,8229426,0.885,2.6689373815105957,interval_width,rsa_cp_barycentric_ot_betabin,0.08722673067690778
Figure 9,MEPS,0-20,SCP,0.05,0.95,15,1000,200,14,348525,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,0-20,Synthetic-only,0.05,0.95,15,1000,200,14,348525,0.945,3.6283563716852223,interval_width,standard_reference,0.5093662738800049
Figure 9,MEPS,0-20,SPI,0.05,0.95,15,1000,200,14,348525,0.945,3.633580241962627,interval_width,spi_fast_form,0.5119782090187073
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,14,348525,0.92,3.0044437172213465,interval_width,rsa_cp_barycentric_ot_betabin,0.1974099466480668
Figure 9,MEPS,0-20,SCP,0.05,0.95,15,1000,200,15,8277021,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,0-20,Synthetic-only,0.05,0.95,15,1000,200,15,8277021,0.965,3.7677623110383864,interval_width,standard_reference,0.5984214544296265
Figure 9,MEPS,0-20,SPI,0.05,0.95,15,1000,200,15,8277021,0.97,3.80857003503741,interval_width,spi_fast_form,0.6188253164291382
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,15,8277021,0.91,3.2533306292212942,interval_width,rsa_cp_barycentric_ot_betabin,0.34120561352108064
Figure 9,MEPS,0-20,SCP,0.05,0.95,15,1000,200,16,3118312,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,0-20,Synthetic-only,0.05,0.95,15,1000,200,16,3118312,0.92,3.2525312979822045,interval_width,standard_reference,0.3641660213470459
Figure 9,MEPS,0-20,SPI,0.05,0.95,15,1000,200,16,3118312,0.92,3.259807356179226,interval_width,spi_fast_form,0.36780405044555664
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,16,3118312,0.945,3.623138380671935,interval_width,rsa_cp_barycentric_ot_betabin,0.5494695626919115
Figure 9,MEPS,0-20,SCP,0.05,0.95,15,1000,200,17,4091990,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,0-20,Synthetic-only,0.05,0.95,15,1000,200,17,4091990,0.94,3.9295525644745792,interval_width,standard_reference,0.4699833393096924
Figure 9,MEPS,0-20,SPI,0.05,0.95,15,1000,200,17,4091990,0.94,3.9719979856934513,interval_width,spi_fast_form,0.4912060499191284
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,17,4091990,0.865,3.055555606555621,interval_width,rsa_cp_barycentric_ot_betabin,0.032984860350213356
Figure 9,MEPS,0-20,SCP,0.05,0.95,15,1000,200,18,2569919,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,0-20,Synthetic-only,0.05,0.95,15,1000,200,18,2569919,0.95,3.571565524816979,interval_width,standard_reference,0.48155665397644043
Figure 9,MEPS,0-20,SPI,0.05,0.95,15,1000,200,18,2569919,0.95,3.5826162259583363,interval_width,spi_fast_form,0.48708200454711914
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,18,2569919,0.945,3.3553589857606014,interval_width,rsa_cp_barycentric_ot_betabin,0.37345338444825193
Figure 9,MEPS,0-20,SCP,0.05,0.95,15,1000,200,19,5495936,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,0-20,Synthetic-only,0.05,0.95,15,1000,200,19,5495936,0.935,3.579940733658441,interval_width,standard_reference,0.5468635559082031
Figure 9,MEPS,0-20,SPI,0.05,0.95,15,1000,200,19,5495936,0.935,3.6037654254309017,interval_width,spi_fast_form,0.5587759017944336
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,19,5495936,0.915,3.3807048269163165,interval_width,rsa_cp_barycentric_ot_betabin,0.4472456025371411
Figure 9,MEPS,0-20,SCP,0.1,0.9,15,1000,200,0,2492284,0.91,2.7291709074634127,interval_width,standard_real,0.20813536643981934
Figure 9,MEPS,0-20,Synthetic-only,0.1,0.9,15,1000,200,0,2492284,0.915,2.789546597923618,interval_width,standard_reference,0.23832321166992188
