Method,alpha,n_cal,Coverage_mean,Coverage_sd,Coverage_n,Length_mean,Length_sd,Length_n
RSA-CP (OT) (Ours),0.05,10,0.9678800000000001,0.034000685235612955,20,25.202366666666666,6.488539214961527,20
RSA-CP (OT) (Ours),0.05,15,0.9362566666666666,0.03777856860197372,20,6.294966666666666,3.75531716270605,20
RSA-CP (OT) (Ours),0.05,20,0.9366333333333333,0.035527546350790945,20,6.192986666666667,3.772326618579013,20
RSA-CP (OT) (Ours),0.05,30,0.9415100000000001,0.03375539307138209,20,6.621973333333334,3.7734427392483334,20
RSA-CP (OT) (Ours),0.05,40,0.94442,0.02885142501066798,20,6.764146666666667,3.7437436171775835,20
RSA-CP (OT) (Ours),0.05,50,0.94625,0.02885783564930974,20,6.912403333333333,3.5292397267841005,20
RSA-CP (OT) (Ours),0.1,10,0.8772433333333334,0.06541813785361,20,3.14282,2.39474713908666,20
RSA-CP (OT) (Ours),0.1,15,0.8954033333333333,0.06717034111232574,20,4.151926666666666,2.7877531545098346,20
RSA-CP (OT) (Ours),0.1,20,0.8927433333333333,0.047113650199148455,20,3.388113333333333,2.494282984090848,20
RSA-CP (OT) (Ours),0.1,30,0.8928533333333334,0.048734360994276596,20,3.3613799999999996,2.510597754511675,20
RSA-CP (OT) (Ours),0.1,40,0.8993,0.037476439382256276,20,3.3955533333333334,2.3909426746572313,20
RSA-CP (OT) (Ours),0.1,50,0.89957,0.03253544338138626,20,3.296756666666666,2.3632999808870685,20
SCP,0.05,10,1.0,0.0,20,30.0,0.0,20
SCP,0.05,15,1.0,0.0,20,30.0,0.0,20
SCP,0.05,20,0.9658366666666668,0.02865584026488404,20,11.304210000000001,6.87811684102016,20
SCP,0.05,30,0.9689066666666667,0.02884434857029092,20,12.370936666666667,7.119600666423998,20
SCP,0.05,40,0.9566700000000001,0.02686839030647013,20,8.627343333333332,4.70491347971359,20
SCP,0.05,50,0.9704433333333334,0.01439712893730643,20,11.139333333333333,5.507832381138106,20
SCP,0.1,10,0.9283266666666666,0.0730040963362423,20,8.638813333333333,7.440995935874955,20
SCP,0.1,15,0.9616866666666667,0.03452309067093624,20,10.513966666666667,6.490988255396547,20
SCP,0.1,20,0.9165133333333333,0.05172708453850653,20,5.140523333333333,3.6157276883617726,20
SCP,0.1,30,0.9075066666666667,0.05296282001643763,20,4.446633333333333,3.294885729190172,20
SCP,0.1,40,0.9117333333333333,0.03692801912493045,20,4.08607,2.55407109642671,20
SCP,0.1,50,0.9078900000000001,0.029916994524910222,20,3.6248166666666664,2.4927226843810906,20
SPI,0.05,10,0.9497233333333334,0.03531638305773543,20,8.916976666666667,7.174147757402334,20
SPI,0.05,15,0.9643433333333334,0.027307247072710535,20,10.561476666666668,6.426484248931611,20
SPI,0.05,20,0.9330833333333333,0.02938188864108228,20,5.4343200000000005,3.3484322285291417,20
SPI,0.05,30,0.9263933333333332,0.02693453966379574,20,4.774666666666667,3.042420480299751,20
SPI,0.05,40,0.9384833333333333,0.03008829015877047,20,6.075846666666666,3.505419633452818,20
SPI,0.05,50,0.93062,0.02454932830991177,20,5.068849999999999,2.944006360585791,20
SPI,0.1,10,0.87361,0.0432539260294261,20,2.7662566666666666,2.001449543393122,20
SPI,0.1,15,0.8706833333333334,0.032964300200661004,20,2.2897866666666666,1.1996904826170252,20
SPI,0.1,20,0.8880533333333334,0.038921811561188666,20,3.0965766666666665,2.350140925402445,20
SPI,0.1,30,0.8890733333333334,0.03940283422584269,20,3.1084666666666667,2.3336630393624844,20
SPI,0.1,40,0.8782,0.037085474213778336,20,2.60915,1.7882686147606606,20
SPI,0.1,50,0.88071,0.03561812584750759,20,2.66126,1.7385165973471355,20
Synthetic-only,0.05,10,0.9007133333333334,0.009195246674424184,20,2.6297433333333333,0.2636955840819628,20
Synthetic-only,0.05,15,0.9014966666666666,0.008194663075683914,20,2.64299,0.24295334740962904,20
Synthetic-only,0.05,20,0.9011799999999999,0.008346616781421465,20,2.638983333333333,0.24702050664217,20
Synthetic-only,0.05,30,0.9013433333333334,0.007967339030571646,20,2.6384833333333333,0.23471766578504252,20
Synthetic-only,0.05,40,0.9011666666666667,0.008431283989262978,20,2.6368033333333334,0.2485872084847131,20
Synthetic-only,0.05,50,0.90174,0.008612106262059587,20,2.65701,0.2539434594481441,20
Synthetic-only,0.1,10,0.83789,0.01042931709033531,20,1.6391133333333332,0.08240884270953658,20
Synthetic-only,0.1,15,0.8375466666666667,0.01212530291416399,20,1.6399133333333331,0.09732701036900507,20
Synthetic-only,0.1,20,0.8395333333333334,0.010255633168942142,20,1.6531066666666667,0.08297165978504571,20
Synthetic-only,0.1,30,0.8375466666666667,0.011608720255261211,20,1.6408366666666665,0.09456989487962784,20
Synthetic-only,0.1,40,0.83808,0.01209031510334802,20,1.6437533333333334,0.09621878602240691,20
Synthetic-only,0.1,50,0.83816,0.010069498846394678,20,1.64189,0.07891900733852555,20
