Method,alpha,n_ref,Coverage_mean,Coverage_sd,Coverage_n,Length_mean,Length_sd,Length_n
RSA-CP (OT) (Ours),0.05,100,0.9809433333333333,0.02730164423212966,20,25.344659999999998,8.868611529081335,20
RSA-CP (OT) (Ours),0.05,250,0.9538800000000001,0.03861048307789961,20,10.656576666666668,9.013041482565386,20
RSA-CP (OT) (Ours),0.05,500,0.9408966666666666,0.039010200945108944,20,8.535923333333333,7.168116525110035,20
RSA-CP (OT) (Ours),0.05,1000,0.9362566666666666,0.03777856860197372,20,6.294966666666666,3.75531716270605,20
RSA-CP (OT) (Ours),0.05,1500,0.93524,0.03802461129751998,20,6.186083333333333,3.696622365126154,20
RSA-CP (OT) (Ours),0.05,2000,0.9341200000000001,0.03842489811725777,20,6.136336666666667,3.78670314817335,20
RSA-CP (OT) (Ours),0.1,100,0.9001266666666666,0.06776522560406328,20,4.7589500000000005,3.652264274872339,20
RSA-CP (OT) (Ours),0.1,250,0.8988833333333334,0.06873368854877836,20,4.68291,3.648849354434453,20
RSA-CP (OT) (Ours),0.1,500,0.8994199999999999,0.06737488417462296,20,4.666306666666666,3.6258447355758245,20
RSA-CP (OT) (Ours),0.1,1000,0.8954033333333333,0.06717034111232574,20,4.151926666666666,2.7877531545098346,20
RSA-CP (OT) (Ours),0.1,1500,0.89671,0.07047863190751898,20,4.609023333333333,3.6105666205317757,20
RSA-CP (OT) (Ours),0.1,2000,0.8967933333333333,0.07080859927292837,20,4.6370233333333335,3.63627676706248,20
SCP,0.05,100,1.0,0.0,20,30.0,0.0,20
SCP,0.05,250,1.0,0.0,20,30.0,0.0,20
SCP,0.05,500,1.0,0.0,20,30.0,0.0,20
SCP,0.05,1000,1.0,0.0,20,30.0,0.0,20
SCP,0.05,1500,1.0,0.0,20,30.0,0.0,20
SCP,0.05,2000,1.0,0.0,20,30.0,0.0,20
SCP,0.1,100,0.9616866666666667,0.03452309067093624,20,10.513966666666667,6.490988255396547,20
SCP,0.1,250,0.9616866666666667,0.03452309067093624,20,10.513966666666667,6.490988255396547,20
SCP,0.1,500,0.9616866666666667,0.03452309067093624,20,10.513966666666667,6.490988255396547,20
SCP,0.1,1000,0.9616866666666667,0.03452309067093624,20,10.513966666666667,6.490988255396547,20
SCP,0.1,1500,0.9616866666666667,0.03452309067093624,20,10.513966666666667,6.490988255396547,20
SCP,0.1,2000,0.9616866666666667,0.03452309067093624,20,10.513966666666667,6.490988255396547,20
SPI,0.05,100,0.9653733333333333,0.025212652537034173,20,10.61414,6.361107330609362,20
SPI,0.05,250,0.9641933333333335,0.027709747899520302,20,10.557973333333333,6.431180181213093,20
SPI,0.05,500,0.96355,0.029434902900670957,20,10.544693333333333,6.449039106317081,20
SPI,0.05,1000,0.9643433333333334,0.027307247072710535,20,10.561476666666668,6.426484248931611,20
SPI,0.05,1500,0.9648866666666667,0.025912024800076257,20,10.577523333333334,6.405224115604606,20
SPI,0.05,2000,0.96479,0.026148735838753517,20,10.57396,6.409893151271201,20
SPI,0.1,100,0.8831633333333333,0.028952427000853768,20,2.46022,1.1449119233930116,20
SPI,0.1,250,0.8721633333333333,0.0340530269326363,20,2.313013333333333,1.1946178374654561,20
SPI,0.1,500,0.8712066666666667,0.03397139422706981,20,2.2988566666666665,1.1980426249189997,20
SPI,0.1,1000,0.8706833333333334,0.032964300200661004,20,2.2897866666666666,1.1996904826170252,20
SPI,0.1,1500,0.87074,0.032815528345354956,20,2.2901133333333332,1.1992216975242174,20
SPI,0.1,2000,0.8701833333333333,0.03313860930848765,20,2.2839533333333333,1.202311402987756,20
Synthetic-only,0.05,100,0.9079666666666666,0.02179434445658778,20,3.2181666666666664,1.3461207261448451,20
Synthetic-only,0.05,250,0.9014066666666667,0.014826353966158523,20,2.7577733333333336,0.5349492311922847,20
Synthetic-only,0.05,500,0.89862,0.013548338410455026,20,2.6177900000000003,0.4234811711881382,20
Synthetic-only,0.05,1000,0.9014966666666666,0.008194663075683914,20,2.64299,0.24295334740962904,20
Synthetic-only,0.05,1500,0.9012399999999999,0.008793043502399324,20,2.6398566666666667,0.2659296607303147,20
Synthetic-only,0.05,2000,0.9011466666666668,0.007452260538554908,20,2.62413,0.21846297795471453,20
Synthetic-only,0.1,100,0.8440133333333334,0.03473328012926524,20,1.7597466666666666,0.31388274683428197,20
Synthetic-only,0.1,250,0.8358233333333333,0.02006257200165615,20,1.6403100000000002,0.178077290894049,20
Synthetic-only,0.1,500,0.8376300000000001,0.01694522962422002,20,1.6465766666666668,0.13915556909213775,20
Synthetic-only,0.1,1000,0.8375466666666667,0.01212530291416399,20,1.6399133333333331,0.09732701036900507,20
Synthetic-only,0.1,1500,0.8389900000000001,0.00961021082218196,20,1.64805,0.07376543153055432,20
Synthetic-only,0.1,2000,0.8396733333333334,0.007972845728210744,20,1.6508800000000001,0.066043609905552,20
