figure,dataset,Method,alpha,n_cal,n_ref,n_test,Coverage_mean,Coverage_std,Length_mean,Length_std,n_runs
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,15,100,15000,0.9809433333333333,0.027301644232129652,25.344659999999998,8.868611529081335,20
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,15,250,15000,0.9538800000000001,0.03861048307789962,10.656576666666668,9.013041482565386,20
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,15,500,15000,0.9408966666666666,0.03901020094510896,8.535923333333333,7.168116525110035,20
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,15,1000,15000,0.9362566666666666,0.03777856860197374,6.294966666666666,3.75531716270605,20
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,15,1500,15000,0.93524,0.03802461129751998,6.186083333333333,3.696622365126154,20
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,15,2000,15000,0.9341200000000001,0.038424898117257786,6.136336666666667,3.786703148173351,20
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.1,15,100,15000,0.9001266666666666,0.06776522560406324,4.7589500000000005,3.652264274872339,20
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.1,15,250,15000,0.8988833333333334,0.06873368854877837,4.68291,3.648849354434453,20
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.1,15,500,15000,0.8994199999999999,0.06737488417462294,4.666306666666666,3.625844735575825,20
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.1,15,1000,15000,0.8954033333333333,0.06717034111232574,4.151926666666666,2.787753154509834,20
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.1,15,1500,15000,0.89671,0.07047863190751899,4.609023333333334,3.6105666205317757,20
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.1,15,2000,15000,0.8967933333333333,0.07080859927292836,4.6370233333333335,3.6362767670624803,20
Figure 8,ImageNet,SCP,0.05,15,100,15000,1.0,0.0,30.0,0.0,20
Figure 8,ImageNet,SCP,0.05,15,250,15000,1.0,0.0,30.0,0.0,20
Figure 8,ImageNet,SCP,0.05,15,500,15000,1.0,0.0,30.0,0.0,20
Figure 8,ImageNet,SCP,0.05,15,1000,15000,1.0,0.0,30.0,0.0,20
Figure 8,ImageNet,SCP,0.05,15,1500,15000,1.0,0.0,30.0,0.0,20
Figure 8,ImageNet,SCP,0.05,15,2000,15000,1.0,0.0,30.0,0.0,20
Figure 8,ImageNet,SCP,0.1,15,100,15000,0.9616866666666667,0.03452309067093624,10.513966666666667,6.490988255396547,20
Figure 8,ImageNet,SCP,0.1,15,250,15000,0.9616866666666667,0.03452309067093624,10.513966666666667,6.490988255396547,20
Figure 8,ImageNet,SCP,0.1,15,500,15000,0.9616866666666667,0.03452309067093624,10.513966666666667,6.490988255396547,20
Figure 8,ImageNet,SCP,0.1,15,1000,15000,0.9616866666666667,0.03452309067093624,10.513966666666667,6.490988255396547,20
Figure 8,ImageNet,SCP,0.1,15,1500,15000,0.9616866666666667,0.03452309067093624,10.513966666666667,6.490988255396547,20
Figure 8,ImageNet,SCP,0.1,15,2000,15000,0.9616866666666667,0.03452309067093624,10.513966666666667,6.490988255396547,20
Figure 8,ImageNet,SPI,0.05,15,100,15000,0.9653733333333333,0.02521265253703417,10.61414,6.361107330609363,20
Figure 8,ImageNet,SPI,0.05,15,250,15000,0.9641933333333335,0.027709747899520288,10.557973333333333,6.431180181213093,20
Figure 8,ImageNet,SPI,0.05,15,500,15000,0.96355,0.02943490290067095,10.544693333333333,6.449039106317081,20
Figure 8,ImageNet,SPI,0.05,15,1000,15000,0.9643433333333334,0.027307247072710532,10.561476666666668,6.426484248931611,20
Figure 8,ImageNet,SPI,0.05,15,1500,15000,0.9648866666666667,0.02591202480007622,10.577523333333334,6.405224115604606,20
Figure 8,ImageNet,SPI,0.05,15,2000,15000,0.96479,0.026148735838753514,10.57396,6.409893151271201,20
Figure 8,ImageNet,SPI,0.1,15,100,15000,0.8831633333333334,0.02895242700085378,2.46022,1.1449119233930116,20
Figure 8,ImageNet,SPI,0.1,15,250,15000,0.8721633333333333,0.034053026932636316,2.313013333333333,1.1946178374654561,20
Figure 8,ImageNet,SPI,0.1,15,500,15000,0.8712066666666667,0.03397139422706982,2.2988566666666665,1.1980426249189997,20
Figure 8,ImageNet,SPI,0.1,15,1000,15000,0.8706833333333334,0.03296430020066101,2.2897866666666666,1.1996904826170254,20
Figure 8,ImageNet,SPI,0.1,15,1500,15000,0.87074,0.03281552834535497,2.2901133333333332,1.1992216975242174,20
