figure,dataset,age_group,Method,alpha,n_cal,n_ref,n_test,Coverage_mean,Coverage_std,Length_mean,Length_std,n_runs
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.05,15,1000,200,0.9265000000000001,0.048911843361834496,3.562173076013412,0.9070468209478303,20
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.1,15,1000,200,0.88825,0.0670089349894553,2.8650189925454033,0.7036032414207386,20
Figure 9,MEPS,0-20,SCP,0.05,15,1000,200,1.0,0.0,inf,,20
Figure 9,MEPS,0-20,SCP,0.1,15,1000,200,0.92875,0.05588698652779461,3.449908724435023,1.1542444963175953,20
Figure 9,MEPS,0-20,SPI,0.05,15,1000,200,0.94825,0.01975341409531658,3.813266930786907,0.37379616031429064,20
Figure 9,MEPS,0-20,SPI,0.1,15,1000,200,0.8995000000000001,0.018560002268602403,2.682792245045653,0.14542651140110988,20
Figure 9,MEPS,0-20,Synthetic-only,0.05,15,1000,200,0.9422499999999999,0.017582512244901302,3.650479535071194,0.1875900406849522,20
Figure 9,MEPS,0-20,Synthetic-only,0.1,15,1000,200,0.897,0.018806493839265085,2.657573043004027,0.13398448627832027,20
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.05,15,1000,200,0.94425,0.026221475730280393,3.0941484537024735,0.6053592647650287,20
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.1,15,1000,200,0.88925,0.03829508007426982,2.5822252856004693,0.6150187452613612,20
Figure 9,MEPS,20-40,SCP,0.05,15,1000,200,1.0,0.0,inf,,20
Figure 9,MEPS,20-40,SCP,0.1,15,1000,200,0.9422499999999999,0.04750277000233499,3.535571474135388,0.9418181168894315,20
Figure 9,MEPS,20-40,SPI,0.05,15,1000,200,0.95075,0.020918073273456225,3.211572874789694,0.4416035243807307,20
Figure 9,MEPS,20-40,SPI,0.1,15,1000,200,0.9032500000000001,0.020791888600580448,2.5232516100588254,0.27052396137677387,20
Figure 9,MEPS,20-40,Synthetic-only,0.05,15,1000,200,0.94675,0.0183729635463004,3.0540917587332514,0.2045228933663716,20
Figure 9,MEPS,20-40,Synthetic-only,0.1,15,1000,200,0.899,0.016905309038411896,2.455317109073978,0.09418418681930575,20
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.05,15,1000,200,0.92875,0.04254641428394467,3.3130673416950294,0.5843322088760964,20
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.1,15,1000,200,0.89125,0.05735106569927105,2.949891116954206,0.6030985997155603,20
Figure 9,MEPS,40-60,SCP,0.05,15,1000,200,1.0,0.0,inf,,20
Figure 9,MEPS,40-60,SCP,0.1,15,1000,200,0.9179999999999999,0.06728572226745161,3.5192646130332728,0.9479182139451212,20
Figure 9,MEPS,40-60,SPI,0.05,15,1000,200,0.9635,0.01663066286617648,3.805737928698916,0.19724480893580945,20
Figure 9,MEPS,40-60,SPI,0.1,15,1000,200,0.9077500000000001,0.0240872864478557,2.9780892421370373,0.16944288053829198,20
Figure 9,MEPS,40-60,Synthetic-only,0.05,15,1000,200,0.961,0.01610818686912109,3.7324430149301477,0.15999731237481432,20
Figure 9,MEPS,40-60,Synthetic-only,0.1,15,1000,200,0.90425,0.022784747899463505,2.941997790790163,0.11704089595012172,20
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.05,15,1000,200,0.88825,0.08501199605752244,4.369480781324149,1.086990172494214,20
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.1,15,1000,200,0.8275,0.09987492177719093,3.867112320800956,1.0180817821008226,20
Figure 9,MEPS,60-100,SCP,0.05,15,1000,200,1.0,0.0,inf,,20
Figure 9,MEPS,60-100,SCP,0.1,15,1000,200,0.91375,0.08549969221243461,5.213047390758817,1.4538355968159806,20
Figure 9,MEPS,60-100,SPI,0.05,15,1000,200,0.9555,0.017160235552303067,5.230969620463322,0.23217838623509213,20
Figure 9,MEPS,60-100,SPI,0.1,15,1000,200,0.9097500000000001,0.026924602328099772,4.578715627968137,0.1021113995823378,20
Figure 9,MEPS,60-100,Synthetic-only,0.05,15,1000,200,0.9522499999999999,0.01626062405742294,5.1398851044148905,0.11500578607699012,20
Figure 9,MEPS,60-100,Synthetic-only,0.1,15,1000,200,0.9097500000000001,0.026924602328099772,4.565522366344754,0.09603035874621552,20
