"Method","Cov","Width","Time","Dataset","Trial","N","N_syn"
"SCP",0.9875,13.7344083448487,0,"LogNormal",1,50,50
"RSA-CP (OT) (Ours)",0.9875,13.7233686203256,0.0299999999999999,"LogNormal",1,50,50
"SPI",0.997,21.5864179956909,0.04,"LogNormal",1,50,50
"Synthetic-only",0.996,19.6585599189262,0.03,"LogNormal",1,50,50
"SCP",0.9875,13.7344083448487,0,"LogNormal",1,100,100
"RSA-CP (OT) (Ours)",0.987,13.6067563999147,0.02,"LogNormal",1,100,100
"SPI",0.9925,16.6964170225981,0,"LogNormal",1,100,100
"Synthetic-only",0.9945,17.5005956634759,0,"LogNormal",1,100,100
"SCP",0.9875,13.7344083448487,0,"LogNormal",1,250,250
"RSA-CP (OT) (Ours)",0.981,12.8722014271687,0.01,"LogNormal",1,250,250
"SPI",0.981,12.6477636171195,0,"LogNormal",1,250,250
"Synthetic-only",0.9325,8.29744297899723,0,"LogNormal",1,250,250
"SCP",0.9875,13.7344083448487,0,"LogNormal",1,500,500
"RSA-CP (OT) (Ours)",0.981,12.8722014271687,0.0099999999999999,"LogNormal",1,500,500
"SPI",0.981,12.6477636171195,0,"LogNormal",1,500,500
"Synthetic-only",0.9525,9.0985644668488,0,"LogNormal",1,500,500
"SCP",0.9875,13.7344083448487,0,"LogNormal",1,1000,1000
"RSA-CP (OT) (Ours)",0.981,12.9421590436207,0.03,"LogNormal",1,1000,1000
"SPI",0.981,12.6477636171195,0.02,"LogNormal",1,1000,1000
"Synthetic-only",0.948,8.75674695281262,0,"LogNormal",1,1000,1000
"SCP",0.9875,13.7344083448487,0,"LogNormal",1,2000,2000
"RSA-CP (OT) (Ours)",0.981,13.0121166600727,0.0600000000000001,"LogNormal",1,2000,2000
"SPI",0.981,12.6477636171195,0.0299999999999999,"LogNormal",1,2000,2000
"Synthetic-only",0.935,8.3332960197562,0,"LogNormal",1,2000,2000
"SCP",0.9875,13.7344083448487,0,"LogNormal",1,3000,3000
"RSA-CP (OT) (Ours)",0.981,12.9928808229451,0.0800000000000001,"LogNormal",1,3000,3000
"SPI",0.981,12.6477636171195,0.05,"LogNormal",1,3000,3000
"Synthetic-only",0.957,9.38929183518147,0,"LogNormal",1,3000,3000
"SCP",0.97,7.48269851920981,0,"Student-t",1,50,50
"RSA-CP (OT) (Ours)",0.97,7.47044749113089,0,"Student-t",1,50,50
"SPI",0.9685,7.38331671670975,0.01,"Student-t",1,50,50
"Synthetic-only",0.9635,7.08828561134421,0.01,"Student-t",1,50,50
"SCP",0.97,7.48269851920981,0,"Student-t",1,100,100
"RSA-CP (OT) (Ours)",0.9685,7.38630412707055,0,"Student-t",1,100,100
"SPI",0.99,10.3850046862214,0,"Student-t",1,100,100
"Synthetic-only",0.99,10.4209016959171,0,"Student-t",1,100,100
"SCP",0.97,7.48269851920981,0,"Student-t",1,250,250
"RSA-CP (OT) (Ours)",0.9685,7.35924806799704,0.02,"Student-t",1,250,250
"SPI",0.987,9.54336798833616,0,"Student-t",1,250,250
"Synthetic-only",0.984,9.02360343001416,0,"Student-t",1,250,250
"SCP",0.97,7.48269851920981,0,"Student-t",1,500,500
"RSA-CP (OT) (Ours)",0.9685,7.33219200892352,0,"Student-t",1,500,500
"SPI",0.99,10.3850046862214,0.0199999999999998,"Student-t",1,500,500
"Synthetic-only",0.9885,9.99193659929694,0,"Student-t",1,500,500
"SCP",0.97,7.48269851920981,0,"Student-t",1,1000,1000
"RSA-CP (OT) (Ours)",0.9685,7.31780051540314,0,"Student-t",1,1000,1000
"SPI",0.99,10.3850046862214,0.01,"Student-t",1,1000,1000
"Synthetic-only",0.995,12.9819120161916,0,"Student-t",1,1000,1000
"SCP",0.97,7.48269851920981,0,"Student-t",1,2000,2000
"RSA-CP (OT) (Ours)",0.9685,7.31780051540314,0.02,"Student-t",1,2000,2000
"SPI",0.99,10.3850046862214,0.03,"Student-t",1,2000,2000
"Synthetic-only",0.993,11.2846839226035,0,"Student-t",1,2000,2000
"SCP",0.97,7.48269851920981,0,"Student-t",1,3000,3000
"RSA-CP (OT) (Ours)",0.966,7.26322038106003,0.01,"Student-t",1,3000,3000
"SPI",0.99,10.3850046862214,0.05,"Student-t",1,3000,3000
"Synthetic-only",0.9935,11.8935602301655,0,"Student-t",1,3000,3000
"SCP",0.9715,11.3320730847307,0,"LogNormal",2,50,50
"RSA-CP (OT) (Ours)",0.971,11.3268598508197,0,"LogNormal",2,50,50
"SPI",0.9945,17.4871339579678,0.02,"LogNormal",2,50,50
"Synthetic-only",0.911,7.54173348713005,0.02,"LogNormal",2,50,50
"SCP",0.9715,11.3320730847307,0,"LogNormal",2,100,100
"RSA-CP (OT) (Ours)",0.9695,11.0538794229185,0,"LogNormal",2,100,100
"SPI",0.99,14.3032174419513,0,"LogNormal",2,100,100
"Synthetic-only",0.943,8.59753911736311,0,"LogNormal",2,100,100
"SCP",0.9715,11.3320730847307,0,"LogNormal",2,250,250
"RSA-CP (OT) (Ours)",0.962,9.95980128081291,0,"LogNormal",2,250,250
"SPI",0.99,14.3032174419513,0.01,"LogNormal",2,250,250
"Synthetic-only",0.994,16.9583647983567,0.01,"LogNormal",2,250,250
"SCP",0.9715,11.3320730847307,0,"LogNormal",2,500,500
"RSA-CP (OT) (Ours)",0.9595,9.63643110935794,0,"LogNormal",2,500,500
"SPI",0.953,9.12934580490327,0.02,"LogNormal",2,500,500
"Synthetic-only",0.9485,8.79843014660561,0,"LogNormal",2,500,500
"SCP",0.9715,11.3320730847307,0,"LogNormal",2,1000,1000
"RSA-CP (OT) (Ours)",0.959,9.49917754997183,0,"LogNormal",2,1000,1000
"SPI",0.9515,8.99569605353338,0.01,"LogNormal",2,1000,1000
"Synthetic-only",0.9505,8.86831778637268,0,"LogNormal",2,1000,1000
"SCP",0.9715,11.3320730847307,0,"LogNormal",2,2000,2000
"RSA-CP (OT) (Ours)",0.957,9.39479098348862,0.02,"LogNormal",2,2000,2000
"SPI",0.9505,8.89436095479431,0.03,"LogNormal",2,2000,2000
"Synthetic-only",0.9505,8.8783658532511,0,"LogNormal",2,2000,2000
"SCP",0.9715,11.3320730847307,0,"LogNormal",2,3000,3000
"RSA-CP (OT) (Ours)",0.9575,9.44698426673022,0,"LogNormal",2,3000,3000
