"Method","Cov","Width","Time","Dataset","Trial","Noise"
"SCP",0.956,8.96118419621163,0,"LogNormal",1,0.25
"RSA-CP (OT) (Ours)",0.9535,8.82377299637636,0.0799999999999983,"LogNormal",1,0.25
"SPI",0.952,8.73085478184519,0.0399999999999991,"LogNormal",1,0.25
"Synthetic-only",0.727,4.27347595976651,0,"LogNormal",1,0.25
"SCP",0.956,8.96118419621163,0,"LogNormal",1,0.5
"RSA-CP (OT) (Ours)",0.9535,8.82377299637636,0.0200000000000031,"LogNormal",1,0.5
"SPI",0.952,8.73085478184519,0.029999999999994,"LogNormal",1,0.5
"Synthetic-only",0.8085,5.06154137272128,0,"LogNormal",1,0.5
"SCP",0.956,8.96118419621163,0,"LogNormal",1,1
"RSA-CP (OT) (Ours)",0.9535,8.83394678165493,0,"LogNormal",1,1
"SPI",0.952,8.73085478184519,0.109999999999999,"LogNormal",1,1
"Synthetic-only",0.8995,6.61156070708514,0,"LogNormal",1,1
"SCP",0.956,8.96118419621163,0,"LogNormal",1,1.5
"RSA-CP (OT) (Ours)",0.9535,8.83163260901414,0.00999999999999801,"LogNormal",1,1.5
"SPI",0.952,8.73085478184519,0.0300000000000011,"LogNormal",1,1.5
"Synthetic-only",0.939,8.24804895087672,0,"LogNormal",1,1.5
"SCP",0.956,8.96118419621163,0,"LogNormal",1,2
"RSA-CP (OT) (Ours)",0.9535,8.81996897403987,0,"LogNormal",1,2
"SPI",0.969,9.88915298672067,0.0399999999999991,"LogNormal",1,2
"Synthetic-only",0.969,9.88772298121384,0,"LogNormal",1,2
"SCP",0.956,8.96118419621163,0,"LogNormal",1,3
"RSA-CP (OT) (Ours)",0.9535,8.82840202404762,0,"LogNormal",1,3
"SPI",0.9695,9.93399419967629,0.0700000000000003,"LogNormal",1,3
"Synthetic-only",0.9885,13.2054992376991,0.019999999999996,"LogNormal",1,3
"SCP",0.9485,6.35751055910473,0,"Student-t",1,0.25
"RSA-CP (OT) (Ours)",0.942,6.15120166349128,0,"Student-t",1,0.25
"SPI",0.9515,6.53220347906205,0.0399999999999991,"Student-t",1,0.25
"Synthetic-only",0.9515,6.53184316330382,0,"Student-t",1,0.25
"SCP",0.9485,6.35751055910473,0,"Student-t",1,0.5
"RSA-CP (OT) (Ours)",0.9415,6.14562989411102,0.019999999999996,"Student-t",1,0.5
"SPI",0.953,6.60622688577271,0.0500000000000043,"Student-t",1,0.5
"Synthetic-only",0.953,6.58326651586657,0,"Student-t",1,0.5
"SCP",0.9485,6.35751055910473,0,"Student-t",1,1
"RSA-CP (OT) (Ours)",0.9415,6.14372572337748,0,"Student-t",1,1
"SPI",0.9625,7.26424713235982,0.0399999999999991,"Student-t",1,1
"Synthetic-only",0.9625,7.24238590858281,0,"Student-t",1,1
"SCP",0.9485,6.35751055910473,0,"Student-t",1,1.5
"RSA-CP (OT) (Ours)",0.942,6.15357565329868,0.0200000000000031,"Student-t",1,1.5
"SPI",0.976,8.52733171983054,0.0499999999999972,"Student-t",1,1.5
"Synthetic-only",0.976,8.50132043948821,0,"Student-t",1,1.5
"SCP",0.9485,6.35751055910473,0,"Student-t",1,2
"RSA-CP (OT) (Ours)",0.9435,6.18852746578187,0,"Student-t",1,2
"SPI",0.986,10.1805251321463,0.0399999999999991,"Student-t",1,2
"Synthetic-only",0.986,10.1503317890065,0,"Student-t",1,2
"SCP",0.9485,6.35751055910473,0,"Student-t",1,3
"RSA-CP (OT) (Ours)",0.9435,6.18633956590766,0.0200000000000031,"Student-t",1,3
"SPI",0.9875,10.4985965245892,0.029999999999994,"Student-t",1,3
"Synthetic-only",0.996,13.6901116085607,0,"Student-t",1,3
"SCP",0.933,7.98938869228529,0,"LogNormal",2,0.25
"RSA-CP (OT) (Ours)",0.927,7.73351657754543,0,"LogNormal",2,0.25
"SPI",0.922,7.55454540998042,0.0399999999999991,"LogNormal",2,0.25
"Synthetic-only",0.733,4.34839638354929,0,"LogNormal",2,0.25
"SCP",0.933,7.98938869228529,0,"LogNormal",2,0.5
"RSA-CP (OT) (Ours)",0.927,7.73351657754543,0,"LogNormal",2,0.5
"SPI",0.922,7.55454540998042,0.0600000000000023,"LogNormal",2,0.5
"Synthetic-only",0.8055,5.02617648384522,0.0200000000000031,"LogNormal",2,0.5
"SCP",0.933,7.98938869228529,0,"LogNormal",2,1
"RSA-CP (OT) (Ours)",0.926,7.71456188005145,0,"LogNormal",2,1
"SPI",0.922,7.55454540998042,0.0499999999999972,"LogNormal",2,1
"Synthetic-only",0.897,6.53073729535814,0.0200000000000031,"LogNormal",2,1
"SCP",0.933,7.98938869228529,0,"LogNormal",2,1.5
"RSA-CP (OT) (Ours)",0.9275,7.75247127503942,0,"LogNormal",2,1.5
"SPI",0.9405,8.2902143248407,0.0399999999999991,"LogNormal",2,1.5
"Synthetic-only",0.94,8.28211695375558,0,"LogNormal",2,1.5
"SCP",0.933,7.98938869228529,0,"LogNormal",2,2
"RSA-CP (OT) (Ours)",0.927,7.72864497718706,0,"LogNormal",2,2
"SPI",0.972,10.2011624618547,0.0499999999999972,"LogNormal",2,2
"Synthetic-only",0.972,10.1942031982746,0,"LogNormal",2,2
"SCP",0.933,7.98938869228529,0,"LogNormal",2,3
"RSA-CP (OT) (Ours)",0.927,7.73528343974325,0,"LogNormal",2,3
"SPI",0.99,13.4482482976952,0.0600000000000023,"LogNormal",2,3
"Synthetic-only",0.9895,13.4296053890069,0.0200000000000031,"LogNormal",2,3
"SCP",0.931,5.73479935071158,0,"Student-t",2,0.25
"RSA-CP (OT) (Ours)",0.927,5.64275854768967,0.0200000000000031,"Student-t",2,0.25
"SPI",0.96,7.05386278720743,0.029999999999994,"Student-t",2,0.25
"Synthetic-only",0.959,7.03295688198248,0,"Student-t",2,0.25
"SCP",0.931,5.73479935071158,0,"Student-t",2,0.5
"RSA-CP (OT) (Ours)",0.926,5.61301261114579,0,"Student-t",2,0.5
"SPI",0.953,6.6175097196704,0.0600000000000023,"Student-t",2,0.5
"Synthetic-only",0.953,6.61242026054987,0.0200000000000031,"Student-t",2,0.5
"SCP",0.931,5.73479935071158,0,"Student-t",2,1
"RSA-CP (OT) (Ours)",0.927,5.62882101724499,0,"Student-t",2,1
"SPI",0.959,7.04204970569345,0.0499999999999972,"Student-t",2,1
"Synthetic-only",0.959,7.04102137596725,0,"Student-t",2,1
"SCP",0.931,5.73479935071158,0,"Student-t",2,1.5
"RSA-CP (OT) (Ours)",0.927,5.6325332819788,0.0200000000000031,"Student-t",2,1.5
"SPI",0.976,8.53681996993947,0.0399999999999991,"Student-t",2,1.5
"Synthetic-only",0.976,8.52590956369124,0,"Student-t",2,1.5
"SCP",0.931,5.73479935071158,0,"Student-t",2,2
"RSA-CP (OT) (Ours)",0.927,5.6269890782986,0,"Student-t",2,2
"SPI",0.985,9.93452397732966,0.0500000000000043,"Student-t",2,2
"Synthetic-only",0.985,9.93308290415729,0,"Student-t",2,2
"SCP",0.931,5.73479935071158,0,"Student-t",2,3
"RSA-CP (OT) (Ours)",0.9255,5.58667901295135,0.00999999999999801,"Student-t",2,3
"SPI",0.9955,13.140900279534,0.0499999999999972,"Student-t",2,3
"Synthetic-only",0.9955,13.116831239988,0,"Student-t",2,3
"SCP",0.8995,6.60999910908706,0,"LogNormal",3,0.25
"RSA-CP (OT) (Ours)",0.8675,6.00691808936589,0.0200000000000031,"LogNormal",3,0.25
"SPI",0.8345,5.515831553796,0.0399999999999991,"LogNormal",3,0.25
"Synthetic-only",0.726,4.25666842211816,0,"LogNormal",3,0.25
"SCP",0.8995,6.60999910908706,0,"LogNormal",3,0.5
"RSA-CP (OT) (Ours)",0.8675,5.99490425318716,0,"LogNormal",3,0.5
"SPI",0.8345,5.515831553796,0.0499999999999972,"LogNormal",3,0.5
"Synthetic-only",0.8055,5.04967908097636,0,"LogNormal",3,0.5
"SCP",0.8995,6.60999910908706,0,"LogNormal",3,1
"RSA-CP (OT) (Ours)",0.862,5.94171896706669,0.0200000000000031,"LogNormal",3,1
"SPI",0.895,6.49094327676154,0.0399999999999991,"LogNormal",3,1
"Synthetic-only",0.8945,6.48999200601887,0,"LogNormal",3,1
"SCP",0.8995,6.60999910908706,0,"LogNormal",3,1.5
"RSA-CP (OT) (Ours)",0.8595,5.88756590087745,0,"LogNormal",3,1.5
"SPI",0.939,8.25074111720756,0.0499999999999972,"LogNormal",3,1.5
"Synthetic-only",0.939,8.23948651740224,0,"LogNormal",3,1.5
"SCP",0.8995,6.60999910908706,0,"LogNormal",3,2
"RSA-CP (OT) (Ours)",0.865,5.96502444224588,0,"LogNormal",3,2
"SPI",0.966,9.60305971886627,0.0600000000000023,"LogNormal",3,2
"Synthetic-only",0.969,9.88076806534113,0.0200000000000031,"LogNormal",3,2
"SCP",0.8995,6.60999910908706,0,"LogNormal",3,3
"RSA-CP (OT) (Ours)",0.863,5.95123934789478,0,"LogNormal",3,3
"SPI",0.966,9.60305971886627,0.0499999999999972,"LogNormal",3,3
"Synthetic-only",0.986,12.7616589938714,0,"LogNormal",3,3
"SCP",0.982,9.51593474215535,0,"Student-t",3,0.25
"RSA-CP (OT) (Ours)",0.9625,7.42529658048595,0.0200000000000031,"Student-t",3,0.25
"SPI",0.9525,6.55370166338713,0.0399999999999991,"Student-t",3,0.25
"Synthetic-only",0.9515,6.54159761079744,0,"Student-t",3,0.25
"SCP",0.982,9.51593474215535,0,"Student-t",3,0.5
"RSA-CP (OT) (Ours)",0.9635,7.47841493918493,0,"Student-t",3,0.5
"SPI",0.9535,6.63679678397454,0.0500000000000043,"Student-t",3,0.5
"Synthetic-only",0.953,6.61952478944625,0,"Student-t",3,0.5
"SCP",0.982,9.51593474215535,0,"Student-t",3,1
"RSA-CP (OT) (Ours)",0.9655,7.63853411326841,0.00999999999999801,"Student-t",3,1
"SPI",0.96,7.09480761738993,0.0499999999999972,"Student-t",3,1
"Synthetic-only",0.96,7.08598214670971,0,"Student-t",3,1
"SCP",0.982,9.51593474215535,0,"Student-t",3,1.5
"RSA-CP (OT) (Ours)",0.965,7.57320000864411,0,"Student-t",3,1.5
"SPI",0.9745,8.34875236915087,0.0500000000000043,"Student-t",3,1.5
"Synthetic-only",0.9735,8.32007204964559,0,"Student-t",3,1.5
"SCP",0.982,9.51593474215535,0,"Student-t",3,2
"RSA-CP (OT) (Ours)",0.9675,7.79169796169218,0.00999999999999801,"Student-t",3,2
"SPI",0.985,10.1045278601086,0.0499999999999972,"Student-t",3,2
"Synthetic-only",0.985,10.0946758773992,0,"Student-t",3,2
"SCP",0.982,9.51593474215535,0,"Student-t",3,3
"RSA-CP (OT) (Ours)",0.967,7.77413330294425,0,"Student-t",3,3
