"Method","Cov","Width","Time","Dataset","Trial","N","N_cal"
"SCP",0.96,9.43295965444156,0,"LogNormal",1,3000,20
"RSA-CP (OT) (Ours)",0.903,7.0619928474332,0.0300000000000011,"LogNormal",1,3000,20
"SPI",0.953,9.00156954566017,0.0299999999999869,"LogNormal",1,3000,20
"Synthetic-only",0.9525,8.94669321502463,0,"LogNormal",1,3000,20
"SCP",0.9875,9.38738272394992,0,"Student-t",1,3000,20
"RSA-CP (OT) (Ours)",0.981,7.99024996943767,0.0200000000000102,"Student-t",1,3000,20
"SPI",0.9925,11.6572105188607,0.019999999999996,"Student-t",1,3000,20
"Synthetic-only",0.9925,11.6241995222486,0,"Student-t",1,3000,20
"SCP",0.965,9.90286932267129,0,"LogNormal",2,3000,20
"RSA-CP (OT) (Ours)",0.9285,7.88680739399681,0,"LogNormal",2,3000,20
"SPI",0.9725,10.849359147507,0.0300000000000011,"LogNormal",2,3000,20
"Synthetic-only",0.9725,10.8490591654214,0,"LogNormal",2,3000,20
"SCP",0.957,6.17863936547133,0,"Student-t",2,3000,20
"RSA-CP (OT) (Ours)",0.9245,4.92191474569049,0,"Student-t",2,3000,20
"SPI",0.994,11.9607563547158,0.0299999999999869,"Student-t",2,3000,20
"Synthetic-only",0.994,11.944030133804,0,"Student-t",2,3000,20
"SCP",0.9565,9.23307278404654,0,"LogNormal",3,3000,20
"RSA-CP (OT) (Ours)",0.898,6.91798166550374,0.0200000000000102,"LogNormal",3,3000,20
"SPI",0.96,9.41578618717281,0.00999999999999091,"LogNormal",3,3000,20
"Synthetic-only",0.9595,9.35019071692432,0,"LogNormal",3,3000,20
"SCP",0.985,8.93833933241012,0,"Student-t",3,3000,20
"RSA-CP (OT) (Ours)",0.976,7.53382688018094,0.0200000000000102,"Student-t",3,3000,20
"SPI",0.9945,12.4902921089974,0.019999999999996,"Student-t",3,3000,20
"Synthetic-only",0.9945,12.4215900217204,0,"Student-t",3,3000,20
"SCP",0.9525,8.9740560957752,0,"LogNormal",4,3000,20
"RSA-CP (OT) (Ours)",0.9275,7.84638336773366,0,"LogNormal",4,3000,20
"SPI",0.981,12.1549703727132,0.0300000000000011,"LogNormal",4,3000,20
"Synthetic-only",0.9805,12.1502438806078,0,"LogNormal",4,3000,20
"SCP",0.9435,5.5845961398676,0,"Student-t",4,3000,20
"RSA-CP (OT) (Ours)",0.8785,4.11637018492348,0,"Student-t",4,3000,20
"SPI",0.9915,11.3999609686804,0.0299999999999869,"Student-t",4,3000,20
"Synthetic-only",0.9915,11.366199418909,0,"Student-t",4,3000,20
"SCP",0.9255,7.79836783324435,0,"LogNormal",5,3000,20
"RSA-CP (OT) (Ours)",0.924,7.76266950539945,0.0200000000000102,"LogNormal",5,3000,20
"SPI",0.934,8.08803513105688,0.019999999999996,"LogNormal",5,3000,20
"Synthetic-only",0.934,8.08798137019409,0,"LogNormal",5,3000,20
"SCP",0.982,8.34081405293155,0,"Student-t",5,3000,20
"RSA-CP (OT) (Ours)",0.97,7.06169589286937,0,"Student-t",5,3000,20
"SPI",0.994,12.0304489388344,0.0300000000000011,"Student-t",5,3000,20
"Synthetic-only",0.9935,11.8803101117314,0,"Student-t",5,3000,20
"SCP",0.999,22.7727992019011,0,"LogNormal",6,3000,20
"RSA-CP (OT) (Ours)",0.983,12.5518805922426,0.019999999999996,"LogNormal",6,3000,20
"SPI",0.955,9.16938694576883,0.00999999999999091,"LogNormal",6,3000,20
"Synthetic-only",0.9505,8.76136158078415,0,"LogNormal",6,3000,20
"SCP",0.97,7.06452052254893,0,"Student-t",6,3000,20
"RSA-CP (OT) (Ours)",0.94,5.42272370511859,0.0200000000000102,"Student-t",6,3000,20
"SPI",0.9915,11.4033788927526,0.0300000000000011,"Student-t",6,3000,20
"Synthetic-only",0.9915,11.3997493541707,0,"Student-t",6,3000,20
"SCP",0.9735,11.1089357664819,0,"LogNormal",7,3000,20
"RSA-CP (OT) (Ours)",0.9615,9.54718789799614,0,"LogNormal",7,3000,20
"SPI",0.9565,9.22950352096114,0.0300000000000011,"LogNormal",7,3000,20
"Synthetic-only",0.9305,7.97833853314077,0,"LogNormal",7,3000,20
"SCP",0.966,6.71318762044265,0,"Student-t",7,3000,20
"RSA-CP (OT) (Ours)",0.9595,6.41532394582082,0.019999999999996,"Student-t",7,3000,20
"SPI",0.9915,11.0263940387249,0.0100000000000051,"Student-t",7,3000,20
"Synthetic-only",0.9915,10.9691498660654,0,"Student-t",7,3000,20
"SCP",0.969,10.3689874027472,0,"LogNormal",8,3000,20
"RSA-CP (OT) (Ours)",0.938,8.19812873849669,0,"LogNormal",8,3000,20
"SPI",0.953,9.07079856243028,0.0300000000000011,"LogNormal",8,3000,20
"Synthetic-only",0.9525,8.90340848606764,0,"LogNormal",8,3000,20
"SCP",0.9965,13.0300787348784,0,"Student-t",8,3000,20
"RSA-CP (OT) (Ours)",0.983,8.65957112664475,0.019999999999996,"Student-t",8,3000,20
"SPI",0.9895,10.4025188560455,0.0100000000000051,"Student-t",8,3000,20
"Synthetic-only",0.9895,10.392117771577,0,"Student-t",8,3000,20
"SCP",0.9505,8.80385682575432,0,"LogNormal",9,3000,20
"RSA-CP (OT) (Ours)",0.904,7.08348816635549,0,"LogNormal",9,3000,20
"SPI",0.983,12.5548783014178,0.0300000000000011,"LogNormal",9,3000,20
"Synthetic-only",0.982,12.5175618726791,0,"LogNormal",9,3000,20
"SCP",0.987,9.17075018172344,0,"Student-t",9,3000,20
"RSA-CP (OT) (Ours)",0.9585,6.29969228996428,0,"Student-t",9,3000,20
"SPI",0.994,11.9158347369818,0.0300000000000011,"Student-t",9,3000,20
"Synthetic-only",0.9935,11.8959698925692,0,"Student-t",9,3000,20
"SCP",0.945,8.46585308888045,0,"LogNormal",10,3000,20
"RSA-CP (OT) (Ours)",0.9425,8.40630535076796,0.00999999999999091,"LogNormal",10,3000,20
"SPI",0.9845,12.9654602246225,0.0200000000000102,"LogNormal",10,3000,20
"Synthetic-only",0.9845,12.9207764987041,0,"LogNormal",10,3000,20
"SCP",0.9895,10.4072189400249,0,"Student-t",10,3000,20
"RSA-CP (OT) (Ours)",0.9355,5.30327725363993,0,"Student-t",10,3000,20
"SPI",0.9905,10.8214208781018,0.0300000000000011,"Student-t",10,3000,20
"Synthetic-only",0.9895,10.4876454243613,0,"Student-t",10,3000,20
"SCP",0.953,9.0398390954517,0,"LogNormal",11,3000,20
"RSA-CP (OT) (Ours)",0.9505,8.82476451427196,0,"LogNormal",11,3000,20
"SPI",0.9535,9.08631660642919,0.0300000000000011,"LogNormal",11,3000,20
"Synthetic-only",0.953,9.02251569257862,0.0100000000000051,"LogNormal",11,3000,20
"SCP",0.9875,9.35941237457057,0,"Student-t",11,3000,20
"RSA-CP (OT) (Ours)",0.9775,7.72630145993099,0.00999999999999091,"Student-t",11,3000,20
"SPI",0.993,11.7674625254268,0.0200000000000102,"Student-t",11,3000,20
"Synthetic-only",0.9925,11.7069940193943,0,"Student-t",11,3000,20
"SCP",0.991,15.4217074201238,0,"LogNormal",12,3000,20
"RSA-CP (OT) (Ours)",0.9485,8.64594427806286,0,"LogNormal",12,3000,20
"SPI",0.948,8.59341786521402,0.0300000000000011,"LogNormal",12,3000,20
"Synthetic-only",0.947,8.56428575614111,0,"LogNormal",12,3000,20
"SCP",0.972,7.29717987751266,0,"Student-t",12,3000,20
"RSA-CP (OT) (Ours)",0.9405,5.47486527920627,0,"Student-t",12,3000,20
"SPI",0.9915,11.1550491502544,0.0300000000000011,"Student-t",12,3000,20
"Synthetic-only",0.9915,10.9035614452223,0,"Student-t",12,3000,20
"SCP",0.951,8.85611195407182,0,"LogNormal",13,3000,20
"RSA-CP (OT) (Ours)",0.9185,7.55801453676127,0.00999999999999091,"LogNormal",13,3000,20
"SPI",0.945,8.51941582948083,0.0200000000000102,"LogNormal",13,3000,20
"Synthetic-only",0.945,8.46258445772264,0,"LogNormal",13,3000,20
"SCP",0.9085,4.64313190308184,0,"Student-t",13,3000,20
"RSA-CP (OT) (Ours)",0.906,4.55580975862638,0,"Student-t",13,3000,20
"SPI",0.9925,11.7019340676526,0.0400000000000063,"Student-t",13,3000,20
"Synthetic-only",0.9925,11.686753296033,0,"Student-t",13,3000,20
"SCP",0.953,9.04955458784781,0,"LogNormal",14,3000,20
"RSA-CP (OT) (Ours)",0.9505,8.83833393916345,0,"LogNormal",14,3000,20
"SPI",0.963,9.7335272153762,0.0300000000000011,"LogNormal",14,3000,20
"Synthetic-only",0.9595,9.36206350823346,0.0100000000000051,"LogNormal",14,3000,20
"SCP",0.9675,6.79021927771765,0,"Student-t",14,3000,20
"RSA-CP (OT) (Ours)",0.94,5.45676500812633,0.0100000000000051,"Student-t",14,3000,20
"SPI",0.9915,11.1463592556088,0.019999999999996,"Student-t",14,3000,20
"Synthetic-only",0.9915,11.1453545670992,0,"Student-t",14,3000,20
"SCP",0.9735,11.029264664415,0,"LogNormal",15,3000,20
"RSA-CP (OT) (Ours)",0.923,7.70931012463218,0,"LogNormal",15,3000,20
"SPI",0.929,7.92232352549133,0.0400000000000063,"LogNormal",15,3000,20
"Synthetic-only",0.929,7.89093151877336,0,"LogNormal",15,3000,20
"SCP",0.974,7.38013636896107,0,"Student-t",15,3000,20
"RSA-CP (OT) (Ours)",0.8675,3.94799528882083,0,"Student-t",15,3000,20
"SPI",0.9935,11.8971378291538,0.0300000000000011,"Student-t",15,3000,20
"Synthetic-only",0.9935,11.8790753324389,0,"Student-t",15,3000,20
"SCP",0.924,7.75299005801508,0,"LogNormal",16,3000,20
"RSA-CP (OT) (Ours)",0.923,7.71537614385552,0.0100000000000051,"LogNormal",16,3000,20
"SPI",0.9595,9.3412657149645,0.0299999999999869,"LogNormal",16,3000,20
"Synthetic-only",0.9575,9.2904740649579,0,"LogNormal",16,3000,20
"SCP",0.9975,14.0838640542905,0,"Student-t",16,3000,20
"RSA-CP (OT) (Ours)",0.9545,6.05321967381642,0,"Student-t",16,3000,20
"SPI",0.9945,12.2254138806237,0.0300000000000011,"Student-t",16,3000,20
"Synthetic-only",0.9945,12.1829840712892,0,"Student-t",16,3000,20
"SCP",0.9875,13.599136126228,0,"LogNormal",17,3000,20
"RSA-CP (OT) (Ours)",0.9815,12.3493348414823,0.0200000000000102,"LogNormal",17,3000,20
"SPI",0.979,11.9948326458722,0.019999999999996,"LogNormal",17,3000,20
"Synthetic-only",0.966,10.0299694065025,0,"LogNormal",17,3000,20
"SCP",0.982,8.50952184216974,0,"Student-t",17,3000,20
"RSA-CP (OT) (Ours)",0.9645,6.58127405625001,0.0100000000000051,"Student-t",17,3000,20
"SPI",0.9905,10.7933803913041,0.019999999999996,"Student-t",17,3000,20
"Synthetic-only",0.9905,10.7759637173954,0,"Student-t",17,3000,20
"SCP",0.812,5.3412671464268,0,"LogNormal",18,3000,20
"RSA-CP (OT) (Ours)",0.7895,5.03598473140114,0,"LogNormal",18,3000,20
"SPI",0.984,12.7918683650568,0.0299999999999869,"LogNormal",18,3000,20
"Synthetic-only",0.9835,12.6954599040502,0.019999999999996,"LogNormal",18,3000,20
"SCP",0.8495,3.67287558345382,0,"Student-t",18,3000,20
"RSA-CP (OT) (Ours)",0.8405,3.57450678115819,0.0200000000000102,"Student-t",18,3000,20
