"Cov","Width","Dataset","Trial","Score_Distribution"
0.9565,8.29380350868766,"LogNormal",1,"SCP"
0.9375,7.28595882100716,"LogNormal",1,"RSA-CP Gamma"
0.942,7.36726110155936,"LogNormal",1,"RSA-CP Normal"
0.937,7.27520909901436,"LogNormal",1,"RSA-CP Beta"
0.8635,4.08014065442793,"Student-t",1,"SCP"
0.851,3.91550893484348,"Student-t",1,"RSA-CP Gamma"
0.851,3.91908859303228,"Student-t",1,"RSA-CP Normal"
0.851,3.91908859303228,"Student-t",1,"RSA-CP Beta"
0.9565,8.29739787576571,"LogNormal",2,"SCP"
0.923,6.92303642937858,"LogNormal",2,"RSA-CP Gamma"
0.9165,6.70522275073841,"LogNormal",2,"RSA-CP Normal"
0.929,7.10139137189964,"LogNormal",2,"RSA-CP Beta"
0.9685,7.5196577234253,"Student-t",2,"SCP"
0.951,6.32447180384831,"Student-t",2,"RSA-CP Gamma"
0.951,6.3155316132978,"Student-t",2,"RSA-CP Normal"
0.9555,6.56043453594952,"Student-t",2,"RSA-CP Beta"
0.9485,7.70765826625049,"LogNormal",3,"SCP"
0.9485,7.66893325164839,"LogNormal",3,"RSA-CP Gamma"
0.9485,7.6645498895672,"LogNormal",3,"RSA-CP Normal"
0.9485,7.67169974604209,"LogNormal",3,"RSA-CP Beta"
0.996,13.0868453591454,"Student-t",3,"SCP"
0.9855,9.51126257003359,"Student-t",3,"RSA-CP Gamma"
0.9865,10.0994741180659,"Student-t",3,"RSA-CP Normal"
0.9855,9.57461092753403,"Student-t",3,"RSA-CP Beta"
0.9585,8.55036764210883,"LogNormal",4,"SCP"
0.9515,7.90432536155845,"LogNormal",4,"RSA-CP Gamma"
0.9515,7.93620243724978,"LogNormal",4,"RSA-CP Normal"
0.9515,7.93673405344315,"LogNormal",4,"RSA-CP Beta"
0.9855,9.59937555003755,"Student-t",4,"SCP"
0.9735,7.97625384600698,"Student-t",4,"RSA-CP Gamma"
0.9735,8.04199124413988,"Student-t",4,"RSA-CP Normal"
0.9775,8.33053703808603,"Student-t",4,"RSA-CP Beta"
0.981,11.4844993146529,"LogNormal",5,"SCP"
0.979,10.7909283525535,"LogNormal",5,"RSA-CP Gamma"
0.979,10.931018812922,"LogNormal",5,"RSA-CP Normal"
0.979,10.7925300986843,"LogNormal",5,"RSA-CP Beta"
0.903,4.76025021677416,"Student-t",5,"SCP"
0.9005,4.68107562679091,"Student-t",5,"RSA-CP Gamma"
0.9005,4.67925439451847,"Student-t",5,"RSA-CP Normal"
0.901,4.68754345286545,"Student-t",5,"RSA-CP Beta"
0.953,8.02115444905368,"LogNormal",6,"SCP"
0.9485,7.66263933029429,"LogNormal",6,"RSA-CP Gamma"
0.9475,7.59410404248745,"LogNormal",6,"RSA-CP Normal"
0.948,7.62111202088317,"LogNormal",6,"RSA-CP Beta"
0.954,6.50146915907604,"Student-t",6,"SCP"
0.949,6.2428040862945,"Student-t",6,"RSA-CP Gamma"
