"Method","Cov","Width","Time","Dataset","Trial","Shock_Probability"
"SCP",0.9955,16.2594556259512,0,"LogNormal",1,0
"RSA-CP (OT) (Ours)",0.9755,10.269408391196,0.0100000000000193,"LogNormal",1,0
"SCP",0.9955,16.2594556259512,0,"LogNormal",1,0.1
"RSA-CP (OT) (Ours)",0.9755,10.2195406579849,0.0199999999999818,"LogNormal",1,0.1
"SCP",0.9955,16.2594556259512,0,"LogNormal",1,0.2
"RSA-CP (OT) (Ours)",0.9665,9.29809505419416,0,"LogNormal",1,0.2
"SCP",0.9955,16.2594556259512,0,"LogNormal",1,0.3
"RSA-CP (OT) (Ours)",0.9565,8.64288357485614,0,"LogNormal",1,0.3
"SCP",0.9955,16.2594556259512,0,"LogNormal",1,0.4
"RSA-CP (OT) (Ours)",0.9755,10.2317589392826,0.0100000000000193,"LogNormal",1,0.4
"SCP",0.9955,16.2594556259512,0,"LogNormal",1,0.5
"RSA-CP (OT) (Ours)",0.9725,9.73805759776802,0,"LogNormal",1,0.5
"SCP",0.996,16.7727281545564,0,"Student-t",1,0
"RSA-CP (OT) (Ours)",0.9205,5.14302789119087,0,"Student-t",1,0
"SCP",0.996,16.7727281545564,0,"Student-t",1,0.1
"RSA-CP (OT) (Ours)",0.9585,7.13774326636231,0,"Student-t",1,0.1
"SCP",0.996,16.7727281545564,0,"Student-t",1,0.2
"RSA-CP (OT) (Ours)",0.9515,6.43897703242187,0,"Student-t",1,0.2
"SCP",0.996,16.7727281545564,0,"Student-t",1,0.3
"RSA-CP (OT) (Ours)",0.8975,4.67312655842423,0,"Student-t",1,0.3
"SCP",0.996,16.7727281545564,0,"Student-t",1,0.4
"RSA-CP (OT) (Ours)",0.937,5.76900133266859,0,"Student-t",1,0.4
"SCP",0.996,16.7727281545564,0,"Student-t",1,0.5
"RSA-CP (OT) (Ours)",0.932,5.56460053521915,0.0200000000000102,"Student-t",1,0.5
"SCP",0.9785,10.6600130769885,0,"LogNormal",2,0
"RSA-CP (OT) (Ours)",0.9755,10.269408391196,0,"LogNormal",2,0
"SCP",0.9785,10.6600130769885,0,"LogNormal",2,0.1
