"Dataset","Noise","Method","Mean_Cov","SD_Cov","Mean_Width","SD_Width","Total_Time","Mean_Time"
"LogNormal",0.25,"SCP",0.949435,0.0283728472239915,9.40075243266967,2.55525955334405,0,0
"LogNormal",0.25,"RSA-CP (OT) (Ours)",0.938645,0.0302413937168807,8.58889971963185,1.82027509758958,0.670000000000016,0.00670000000000016
"LogNormal",0.25,"SPI",0.926545,0.033131746120754,7.94549785600057,1.46041697114038,4.87999999999995,0.0487999999999995
"LogNormal",0.25,"Synthetic-only",0.727665,0.00174664902836341,4.28668292607831,0.0230992598684958,0.239999999999981,0.00239999999999981
"LogNormal",0.5,"SCP",0.949435,0.0283728472239915,9.40075243266967,2.55525955334405,0,0
"LogNormal",0.5,"RSA-CP (OT) (Ours)",0.938945,0.0301303477168013,8.58963256699118,1.7690273589057,0.539999999999985,0.00539999999999985
"LogNormal",0.5,"SPI",0.926545,0.033131746120754,7.94549785600057,1.46041697114038,4.83000000000007,0.0483000000000007
"LogNormal",0.5,"Synthetic-only",0.805885,0.00318047626825438,5.04298013466154,0.0390467301161644,0.279999999999966,0.00279999999999966
"LogNormal",1,"SCP",0.949435,0.0283728472239915,9.40075243266967,2.55525955334405,0,0
"LogNormal",1,"RSA-CP (OT) (Ours)",0.938165,0.0303657880822907,8.56247609744325,1.79627314630005,0.549999999999969,0.00549999999999969
"LogNormal",1,"SPI",0.930975,0.0263542662293005,8.03400743755529,1.35693713984801,4.98999999999991,0.0498999999999991
"LogNormal",1,"Synthetic-only",0.899905,0.00235025788398042,6.6390763108859,0.0790363156492644,0.329999999999998,0.00329999999999998
"LogNormal",1.5,"SCP",0.949435,0.0283728472239915,9.40075243266967,2.55525955334405,0,0
"LogNormal",1.5,"RSA-CP (OT) (Ours)",0.93864,0.0301373187227726,8.57947009039052,1.77709608071706,0.560000000000038,0.00560000000000038
"LogNormal",1.5,"SPI",0.94695,0.0152165347334053,8.67168601555826,0.952443631122069,5.00000000000006,0.0500000000000006
"LogNormal",1.5,"Synthetic-only",0.941915,0.00341125217686136,8.32816657700426,0.114266335577033,0.320000000000029,0.00320000000000029
"LogNormal",2,"SCP",0.949435,0.0283728472239915,9.40075243266967,2.55525955334405,0,0
"LogNormal",2,"RSA-CP (OT) (Ours)",0.938495,0.0303681530920506,8.56916878595067,1.77801769356866,0.479999999999947,0.00479999999999947
"LogNormal",2,"SPI",0.96193,0.0165106363024297,9.55311490532376,0.977962760040083,4.75000000000001,0.0475000000000001
"LogNormal",2,"Synthetic-only",0.969375,0.00155598388763698,9.92666060639295,0.148629448070084,0.190000000000005,0.00190000000000005
"LogNormal",3,"SCP",0.949435,0.0283728472239915,9.40075243266967,2.55525955334405,0,0
"LogNormal",3,"RSA-CP (OT) (Ours)",0.9385,0.0303369128757078,8.57318869525354,1.76626393797377,0.570000000000057,0.00570000000000057
